arabic,english
متى أنشئت هذه الجامعة؟,When was this university founded?
أراها نادراً,I see it rarely.
يعزف على البيانو بشكل جيد جداً,He plays the piano very well.
مع كل احترامي.,With all due respect.
نظف أسنانك,Brush your teeth clean.
أتمنى لك نومًا هادئًا يا تِمِي.‏‏,"Sleep well, Timmy."
أتمنى لك نومًا هادئًا يا تِمِي.‏‏,"Good night, Timmy!"
ما اسمُك؟,What's your name?
لو سمحت، أضعت طريقي.‏‏,"Excuse me, I'm lost."
عفوًا.,You're welcome.
عيد ميلاد سعيد!‏‏,Happy birthday to you!
يتكلم بسرعة.,He is a fast speaker.
إنه وسيم.,He is very handsome.
إنه وسيم و ذكي.,He is handsome and clever.
إنه وسيم جدا.,He is tremendously handsome.
إنه وسيم جدا.,He is very handsome.
هذه القلعة جميلة.,That castle is beautiful.
هذه القلعة جميلة.,The castle is beautiful.
هذه القلعة جميلة.,This castle is beautiful.
إيطاليا بلد جميل جدا.,Italy is a very beautiful country.
طقس اليوم جميل.,It's fine today.
تعال إلى منزلي.,Come to my house.
منزلي كبير.,My house is big.
أنظر إلى هذا المنزل.,Look at that house.
منزلك رائع.,Your house is fantastic.
مرحباً بك في المنزل.,Welcome home.
إني في المنزل.,I am at home.
إني في المنزل.,I'm at home.
لا أحب المدرسة.,I don't like school.
أنا طالب في هذه المدرسة.,I am a student of this school.
هذه مدرستنا.,That is our school.
تستطيع معالجة السرطان اذا أكتشف في المراحل الأولى.,Cancer can be cured easily if it is found in its first phase.
مرض السرطان هو عدو البشريه الأكبر,Cancer is a great enemy of humanity.
هل تتكلم اللغة الإنجليزية؟,Do you speak English?
أنا لا أتكلم اللغة اليابانية.‏‏,I don't speak Japanese.
لا تقلق.,At ease.
لا تقلق.,Don't worry.
لا تقلق.,Don't worry!
لا أعرف‏.‏‏,I have no idea.
لا أعرف‏.‏‏,I don't know.
الدوق يمتلك الكثير من الأراضي.,The duke holds a lot of land.
الشهر القمري أقصر من الشهر الشمسي.,A lunar month is shorter than a calendar month.
اليوم أقمارنا الصناعية تدور حول الأرض.,Today our artificial satellites are revolving around the earth.
فكرة جيدة أن نلعب الشوقي بعد الغداء.,It is a good idea for us to play shogi after dinner.
استيقظت في السابعة هذا الصباح.,I got up at seven this morning.
تركوا المشكلة بدون حل.,They left the problem unsolved.
هل تريد أن تنصحني بشيء ما ؟,Do you have any advice for me?
تعتمد اليابان على نفط البلدان العربية.,Japan relies on Arab countries for oil.
